   n, bubble_cmp, bubble_swaps, bubble_time, insertion_cmp, insertion_swaps, insertion_time, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
 544,           ,             ,            ,              ,                ,               ,     8241,       4480,      7979,      8521,        1533,      25930
 545,           ,             ,            ,              ,                ,               ,     8254,       4493,      7977,      8323,        1562,      25930
 546,           ,             ,            ,              ,                ,               ,     8287,       4500,      7979,      8258,        1560,      24933
 547,           ,             ,            ,              ,                ,               ,     8297,       4509,      7978,      8457,        1567,      24933
 548,           ,             ,            ,              ,                ,               ,     8318,       4530,      7988,      8578,        1570,      25920
 549,           ,             ,            ,              ,                ,               ,     8322,       4527,      6980,      8436,        1544,      25950
 550,           ,             ,            ,              ,                ,               ,     8330,       4536,      7961,      8280,        1581,      25960
 551,           ,             ,            ,              ,                ,               ,     8359,       4540,      6970,      8144,        1571,      24933
 552,           ,             ,            ,              ,                ,               ,     8375,       4568,      7978,      8215,        1607,      26928
 553,           ,             ,            ,              ,                ,               ,     8393,       4584,      7978,      8291,        1597,      25930
 554,           ,             ,            ,              ,                ,               ,     8421,       4570,      6981,      8193,        1589,      25948
 555,           ,             ,            ,              ,                ,               ,     8422,       4567,      7979,      8982,        1569,      26927
 556,           ,             ,            ,              ,                ,               ,     8466,       4594,      8975,      8590,        1594,      26928
 557,           ,             ,            ,              ,                ,               ,     8467,       4613,      7978,      8769,        1585,      25930
 558,           ,             ,            ,              ,                ,               ,     8480,       4622,      7978,      8563,        1638,      26928
 559,           ,             ,            ,              ,                ,               ,     8493,       4613,      7978,      8950,        1603,      29923
 560,           ,             ,            ,              ,                ,               ,     8513,       4632,      7973,      8536,        1606,      26929
 561,           ,             ,            ,              ,                ,               ,     8545,       4657,      7953,      8673,        1618,      27926
 562,           ,             ,            ,              ,                ,               ,     8546,       4669,      8974,      8863,        1589,      27926
 563,           ,             ,            ,              ,                ,               ,     8547,       4641,      7978,      8615,        1623,      27926
 564,           ,             ,            ,              ,                ,               ,     8604,       4686,      8975,      8547,        1595,      26928
 565,           ,             ,            ,              ,                ,               ,     8603,       4671,      7977,      8893,        1610,      26929
 566,           ,             ,            ,              ,                ,               ,     8613,       4685,      7978,      8956,        1639,      26927
 567,           ,             ,            ,              ,                ,               ,     8634,       4701,      7979,      8585,        1665,      27921
 568,           ,             ,            ,              ,                ,               ,     8641,       4696,      7994,      8780,        1620,      26928
 569,           ,             ,            ,              ,                ,               ,     8705,       4730,      7978,      9000,        1612,      28921
 570,           ,             ,            ,              ,                ,               ,     8725,       4744,      7977,      8700,        1641,      28922
 571,           ,             ,            ,              ,                ,               ,     8709,       4747,      7979,      8932,        1626,      27926
 572,           ,             ,            ,              ,                ,               ,     8732,       4755,      8013,      9429,        1634,      28921
 573,           ,             ,            ,              ,                ,               ,     8770,       4790,      7978,      8995,        1653,      26964
 574,           ,             ,            ,              ,                ,               ,     8779,       4770,      7943,      9234,        1644,      28907
 575,           ,             ,            ,              ,                ,               ,     8773,       4771,      8976,      8788,        1654,      28922
 576,           ,             ,            ,              ,                ,               ,     8811,       4797,      8020,      8568,        1682,      28921
 577,           ,             ,            ,              ,                ,               ,     8859,       4822,      7998,      9431,        1622,      27926
 578,           ,             ,            ,              ,                ,               ,     8845,       4799,      7978,      9250,        1645,      27939
 579,           ,             ,            ,              ,                ,               ,     8886,       4813,      8995,      8960,        1662,      28890
 580,           ,             ,            ,              ,                ,               ,     8890,       4829,      8983,      9174,        1642,      27955
 581,           ,             ,            ,              ,                ,               ,     8898,       4832,      7978,      8769,        1650,      28922
 582,           ,             ,            ,              ,                ,               ,     8908,       4841,      7979,      9666,        1664,      29920
 583,           ,             ,            ,              ,                ,               ,     8930,       4856,      7977,      9047,        1702,      29919
 584,           ,             ,            ,              ,                ,               ,     8947,       4860,      8976,      9368,        1676,      29946
 585,           ,             ,            ,              ,                ,               ,     8967,       4868,      8949,      9468,        1662,      29920
 586,           ,             ,            ,              ,                ,               ,     8997,       4895,      8985,      9438,        1671,      31905
 587,           ,             ,            ,              ,                ,               ,     9014,       4904,      9002,      8931,        1715,      29892
 588,           ,             ,            ,              ,                ,               ,     9036,       4907,      7978,      9015,        1725,      28924
 589,           ,             ,            ,              ,                ,               ,     9071,       4936,      7978,      9127,        1709,      29920
 590,           ,             ,            ,              ,                ,               ,     9074,       4942,      8976,      9566,        1681,      28924
 591,           ,             ,            ,              ,                ,               ,     9110,       4955,      7979,      8900,        1737,      29919
 592,           ,             ,            ,              ,                ,               ,     9119,       4953,      8975,      9956,        1701,      32911
 593,           ,             ,            ,              ,                ,               ,     9115,       4950,      8977,      9702,        1723,      30917
 594,           ,             ,            ,              ,                ,               ,     9160,       4979,      8975,      9430,        1733,      29935
 595,           ,             ,            ,              ,                ,               ,     9155,       4975,      8958,      9620,        1701,      29945
 596,           ,             ,            ,              ,                ,               ,     9191,       5001,      8952,      9209,        1694,      29920
 597,           ,             ,            ,              ,                ,               ,     9199,       5011,      7968,      9211,        1701,      29919
 598,           ,             ,            ,              ,                ,               ,     9222,       5007,      8975,      9069,        1739,      29920
 599,           ,             ,            ,              ,                ,               ,     9250,       5015,      8976,      9567,        1722,      29919
 600,           ,             ,            ,              ,                ,               ,     9274,       5044,      8986,      9575,        1753,      29902
 601,           ,             ,            ,              ,                ,               ,     9282,       5034,      7978,      9223,        1755,      29920
 602,           ,             ,            ,              ,                ,               ,     9310,       5059,      7980,     10049,        1706,      30902
 603,           ,             ,            ,              ,                ,               ,     9297,       5045,      8974,      9098,        1757,      30917
 604,           ,             ,            ,              ,                ,               ,     9320,       5070,      8976,      9434,        1734,      29919
 605,           ,             ,            ,              ,                ,               ,     9380,       5102,      8976,      9570,        1734,      30926
 606,           ,             ,            ,              ,                ,               ,     9376,       5097,      7970,      9936,        1765,      31935
 607,           ,             ,            ,              ,                ,               ,     9402,       5110,      8979,      9605,        1754,      30887
 608,           ,             ,            ,              ,                ,               ,     9377,       5099,      7978,      9532,        1736,      30918
 609,           ,             ,            ,              ,                ,               ,     9420,       5123,      9011,      9782,        1741,      30905
 610,           ,             ,            ,              ,                ,               ,     9450,       5136,      8978,      9789,        1750,      30929
